Date,Open,High,Low,Close,Adj Close,Volume
2020-12-28,3370.000000,3460.000000,3280.000000,3430.000000,3150.129150,178138100
2020-12-29,3500.000000,3530.000000,3400.000000,3420.000000,3140.945068,184525500
2020-12-30,3420.000000,3420.000000,3310.000000,3310.000000,3039.920410,150844500
2021-01-04,3320.000000,3500.000000,3310.000000,3490.000000,3205.233154,165339800
2021-01-05,3480.000000,3480.000000,3420.000000,3470.000000,3186.865234,157800700
2021-01-06,3470.000000,3490.000000,3330.000000,3370.000000,3095.024902,177877900
2021-01-07,3390.000000,3450.000000,3380.000000,3390.000000,3113.392822,140221900
2021-01-08,3450.000000,3620.000000,3440.000000,3570.000000,3278.705811,492643700
2021-01-11,3590.000000,3640.000000,3570.000000,3600.000000,3306.257813,271231200
2021-01-12,3600.000000,3620.000000,3500.000000,3510.000000,3223.601563,189779500
2021-01-13,3550.000000,3550.000000,3460.000000,3480.000000,3196.049316,162329300
2021-01-14,3480.000000,3590.000000,3470.000000,3500.000000,3214.417480,187448400
2021-01-15,3510.000000,3540.000000,3450.000000,3480.000000,3196.049316,133304300
2021-01-18,3480.000000,3520.000000,3430.000000,3450.000000,3168.497070,138913100
2021-01-19,3470.000000,3490.000000,3370.000000,3410.000000,3131.760986,144100700
2021-01-20,3420.000000,3480.000000,3380.000000,3470.000000,3186.865234,116098100
2021-01-21,3500.000000,3520.000000,3460.000000,3480.000000,3196.049316,81801900
2021-01-22,3420.000000,3440.000000,3360.000000,3390.000000,3113.392822,165024200
2021-01-25,3370.000000,3410.000000,3310.000000,3370.000000,3095.024902,118131800
2021-01-26,3360.000000,3390.000000,3260.000000,3260.000000,2994.000244,111414500
2021-01-27,3340.000000,3380.000000,3260.000000,3380.000000,3104.208984,159144700
2021-01-28,3280.000000,3330.000000,3230.000000,3240.000000,2975.632080,142648800
2021-01-29,3290.000000,3290.000000,3110.000000,3110.000000,2856.239502,191915100
2021-02-01,3130.000000,3250.000000,3040.000000,3230.000000,2966.448242,133929600
2021-02-02,3300.000000,3330.000000,3250.000000,3270.000000,3003.184326,114734600
2021-02-03,3250.000000,3330.000000,3220.000000,3240.000000,2975.632080,86433900
2021-02-04,3270.000000,3330.000000,3260.000000,3290.000000,3021.552246,80319500
2021-02-05,3320.000000,3320.000000,3270.000000,3290.000000,3021.552246,52630500
2021-02-08,3300.000000,3370.000000,3270.000000,3280.000000,3012.368408,96635600
2021-02-09,3250.000000,3300.000000,3180.000000,3200.000000,2938.895996,157479200
2021-02-10,3180.000000,3220.000000,3160.000000,3190.000000,2929.711914,125221400
2021-02-11,3220.000000,3230.000000,3170.000000,3190.000000,2929.711914,79940700
2021-02-15,3200.000000,3260.000000,3200.000000,3220.000000,2957.264160,88883300
2021-02-16,3200.000000,3250.000000,3190.000000,3210.000000,2948.080078,82026300
2021-02-17,3220.000000,3250.000000,3140.000000,3150.000000,2892.975586,121105300
2021-02-18,3190.000000,3270.000000,3180.000000,3180.000000,2920.527832,151200300
2021-02-19,3180.000000,3220.000000,3170.000000,3210.000000,2948.080078,63214600
2021-02-22,3210.000000,3240.000000,3170.000000,3170.000000,2911.343750,100425500
2021-02-23,3200.000000,3480.000000,3200.000000,3470.000000,3186.865234,354966200
2021-02-24,3490.000000,3550.000000,3460.000000,3480.000000,3196.049316,303017100
2021-02-25,3510.000000,3570.000000,3450.000000,3490.000000,3205.233154,226833000
2021-02-26,3450.000000,3510.000000,3410.000000,3490.000000,3205.233154,230007700
2021-03-01,3490.000000,3510.000000,3470.000000,3490.000000,3205.233154,91513500
2021-03-02,3490.000000,3500.000000,3440.000000,3460.000000,3177.681152,169061400
2021-03-03,3480.000000,3480.000000,3420.000000,3440.000000,3159.312988,82610700
2021-03-04,3420.000000,3430.000000,3350.000000,3360.000000,3085.840820,142322100
2021-03-05,3340.000000,3370.000000,3320.000000,3320.000000,3049.104492,128546000
2021-03-08,3360.000000,3400.000000,3330.000000,3340.000000,3067.472412,80094900
2021-03-09,3370.000000,3390.000000,3280.000000,3290.000000,3021.552246,110090800
2021-03-10,3340.000000,3420.000000,3310.000000,3400.000000,3122.576904,91631900
2021-03-12,3440.000000,3480.000000,3430.000000,3450.000000,3168.497070,100195200
2021-03-15,3440.000000,3450.000000,3380.000000,3380.000000,3104.208984,50077300
2021-03-16,3400.000000,3410.000000,3360.000000,3360.000000,3085.840820,60111200
2021-03-17,3410.000000,3430.000000,3370.000000,3390.000000,3113.392822,61701400
2021-03-18,3450.000000,3480.000000,3430.000000,3450.000000,3168.497070,101896400
2021-03-19,3410.000000,3440.000000,3380.000000,3440.000000,3159.312988,140000000
2021-03-22,3440.000000,3440.000000,3380.000000,3380.000000,3104.208984,53870300
2021-03-23,3390.000000,3420.000000,3350.000000,3360.000000,3085.840820,55323200
2021-03-24,3320.000000,3390.000000,3320.000000,3370.000000,3095.024902,67173200
2021-03-25,3400.000000,3430.000000,3380.000000,3410.000000,3131.760986,107607200
2021-03-26,3410.000000,3500.000000,3390.000000,3490.000000,3205.233154,106810400
2021-03-29,3470.000000,3490.000000,3400.000000,3410.000000,3131.760986,72214100
2021-03-30,3420.000000,3430.000000,3360.000000,3380.000000,3104.208984,66491800
2021-03-31,3380.000000,3420.000000,3330.000000,3420.000000,3140.945068,134671900
2021-04-01,3390.000000,3440.000000,3380.000000,3390.000000,3113.392822,73332000
2021-04-05,3430.000000,3430.000000,3370.000000,3380.000000,3104.208984,36029200
2021-04-06,3400.000000,3410.000000,3370.000000,3370.000000,3095.024902,40566400
2021-04-07,3410.000000,3430.000000,3380.000000,3400.000000,3122.576904,84754300
2021-04-08,3380.000000,3400.000000,3380.000000,3390.000000,3113.392822,59079700
